Time,Latitude,Longitude
1546465328,49.2341,148.9366
1546465333,49.1325,149.3876
1546465338,49.0289,149.8367
1546465343,48.9234,150.2840
1546465348,48.8161,150.7291
1546465353,48.7068,151.1723
1546465358,48.5957,151.6135
1546465363,48.4828,152.0526
1546465368,48.3680,152.4897
1546465373,48.2514,152.9247
1546465379,48.1211,153.4008
1546465384,48.0008,153.8315
1546465389,47.8787,154.2600
1546465394,47.7548,154.6864
1546465399,47.6292,155.1106
1546465404,47.5019,155.5326
1546465409,47.3729,155.9526
1546465414,47.2423,156.3702
1546465419,47.0966,156.8273
1546465424,46.9624,157.2404
1546465429,46.8266,157.6514
1546465434,46.6892,158.0602
1546465439,46.5501,158.4669
1546465444,46.4095,158.8712
1546465449,46.2673,159.2734
1546465454,46.1236,159.6735
1546465459,45.9783,160.0713
1546465464,45.8315,160.4669
1546465472,45.5935,161.0953
1546465477,45.4428,161.4852
1546465483,45.2753,161.9115
1546465488,45.1216,162.2967
1546465493,44.9664,162.6797
1546465498,44.8098,163.0605
1546465503,44.6518,163.4391
1546465508,44.4925,163.8156
1546465513,44.3317,164.1899
1546465518,44.1696,164.5620
1546465523,44.0061,164.9320
1546465528,43.8413,165.2998
1546465533,43.6752,165.6654
1546465538,43.5078,166.0289
1546465546,43.2373,166.6062
1546465551,43.0666,166.9641
1546465557,42.8774,167.3555
1546465562,42.7041,167.7090
1546465567,42.5295,168.0605
1546465572,42.3538,168.4099
1546465577,42.1769,168.7572
1546465582,41.9988,169.1025
1546465587,41.8196,169.4456
1546465592,41.6392,169.7868
1546465597,41.4576,170.1259
1546465602,41.2750,170.4631
1546465607,41.0912,170.7982
1546465612,40.9064,171.1313
1546465617,40.7205,171.4623
1546465622,40.5336,171.7914
1546465627,40.3267,172.1512
1546465632,40.1375,172.4763
1546465637,39.9473,172.7994
1546465642,39.7561,173.1207
1546465647,39.5639,173.4400
1546465652,39.3707,173.7574
1546465657,39.1765,174.0729
1546465662,38.9814,174.3867
1546465667,38.7852,174.6985
1546465672,38.5882,175.0085
1546465677,38.3903,175.3167
1546465682,38.1914,175.6232
1546465687,37.9916,175.9278
1546465692,37.7909,176.2306
1546465698,37.5691,176.5617
1546465703,37.3666,176.8609
1546465708,37.1632,177.1583
1546465713,36.9590,177.4540
1546465718,36.7540,177.7480
1546465723,36.5481,178.0403
1546465728,36.3414,178.3309
1546465733,36.1338,178.6200
1546465738,35.9255,178.9074
1546465743,35.7164,179.1931
1546465748,35.5066,179.4772
1546465753,35.2959,179.7598
1546465759,35.0634,-179.9313
1546465764,34.8512,-179.6521
1546465769,34.6382,-179.3744
1546465774,34.4245,-179.0982
1546465779,34.2102,-178.8236
1546465784,33.9951,-178.5504
1546465789,33.7793,-178.2788
1546465794,33.5628,-178.0086
1546465799,33.3457,-177.7400
1546465804,33.1278,-177.4727
1546465809,32.9094,-177.2069
1546465814,32.6903,-176.9425
1546465819,32.4705,-176.6795
1546465824,32.2501,-176.4179
1546465829,32.0291,-176.1577
1546465834,31.7852,-175.8730
