Time,Latitiude,Longitude
1545501237,-49.4699,91.4080
1545501243,-49.3733,91.8623
1545501248,-49.2649,92.3599
1545501253,-49.1643,92.8102
1545501258,-49.0617,93.2588
1545501264,-48.9467,93.7498
1545501269,-48.8402,94.1941
1545501274,-48.7319,94.6364
1545501279,-48.6106,95.1205
1545501284,-48.4983,95.5586
1545501289,-48.3843,95.9946
1545501294,-48.2684,96.4285
1545501300,-48.1389,96.9034
1545501305,-48.0194,97.3330
1545501310,-47.8980,97.7604
1545501315,-47.7625,98.2282
1545501320,-47.6376,98.6512
1545501325,-47.5109,99.0721
1545501331,-47.3696,99.5326
1545501336,-47.2394,99.9489
1545501341,-47.1075,100.3631
1545501346,-46.9606,100.8162
1545501352,-46.8116,101.2667
1545501357,-46.6746,101.6739
1545501362,-46.5359,102.0790
1545501367,-46.3957,102.4818
1545501372,-46.2397,102.9224
1545501377,-46.0962,103.3207
1545501382,-45.9512,103.7168
1545501388,-45.7899,104.1500
1545501393,-45.6417,104.5415
1545501398,-45.4920,104.9310
1545501403,-45.3257,105.3567
1545501408,-45.1730,105.7414
1545501413,-45.0189,106.1239
1545501419,-44.8477,106.5423
1545501424,-44.6906,106.9203
1545501429,-44.5321,107.2961
1545501434,-44.3562,107.7070
1545501439,-44.1949,108.0783
1545501444,-44.0322,108.4475
1545501450,-43.8517,108.8511
1545501455,-43.6862,109.2158
1545501461,-43.5027,109.6145
1545501466,-43.3346,109.9747
1545501471,-43.1651,110.3329
1545501476,-42.9774,110.7244
1545501481,-42.8054,111.0780
1545501486,-42.6321,111.4296
1545501492,-42.4402,111.8140
1545501497,-42.2645,112.1612
1545501502,-42.0876,112.5064
1545501507,-41.8917,112.8837
1545501512,-41.7124,113.2245
1545501517,-41.5319,113.5634
1545501523,-41.3322,113.9338
1545501528,-41.1494,114.2685
1545501533,-40.9656,114.6011
1545501538,-40.7621,114.9648
1545501543,-40.5760,115.2934
1545501548,-40.3888,115.6200
1545501553,-40.2006,115.9446
1545501559,-39.9925,116.2996
1545501564,-39.8021,116.6202
1545501569,-39.6108,116.9390
1545501574,-39.3992,117.2875
1545501579,-39.2058,117.6023
1545501584,-39.0115,117.9153
1545501590,-38.7966,118.2575
1545501595,-38.6003,118.5666
1545501600,-38.4030,118.8740
1545501605,-38.1850,119.2100
1545501610,-37.9859,119.5135
1545501615,-37.7859,119.8154
1545501621,-37.5648,120.1453
1545501626,-37.3630,120.4435
1545501631,-37.1603,120.7400
1545501636,-36.9363,121.0641
1545501641,-36.7317,121.3571
1545501646,-36.5264,121.6484
1545501652,-36.2996,121.9669
1545501657,-36.0926,122.2546
1545501662,-35.8848,122.5409
1545501667,-35.6553,122.8538
1545501673,-35.4459,123.1366
1545501678,-35.2356,123.4180
1545501683,-35.0035,123.7256
1545501688,-34.7917,124.0035
1545501693,-34.5792,124.2800
1545501699,-34.3447,124.5823
1545501704,-34.1307,124.8555
1545501709,-33.9160,125.1273
1545501714,-33.6790,125.4245
1545501719,-33.4629,125.6933
1545501724,-33.2461,125.9605
1545501730,-33.0069,126.2528
1545501735,-32.7887,126.5170
1545501740,-32.5699,126.7799
1545501745,-32.3284,127.0675
1545501750,-32.1083,127.3274
1545501755,-31.8875,127.5860
1545501760,-31.6661,127.8433
1545501766,-31.4219,128.1248
1545501771,-31.1993,128.3793
1545501776,-30.9761,128.6325
1545501781,-30.7298,128.9096
1545501786,-30.5054,129.1601
1545501792,-30.2579,129.4343
1545501797,-30.0323,129.6822
1545501802,-29.7835,129.9535
1545501807,-29.5567,130.1990
1545501812,-29.3294,130.4432
1545501817,-29.1016,130.6862
1545501823,-28.8504,130.9521
1545501828,-28.6216,131.1927
1545501833,-28.3922,131.4322
1545501838,-28.1393,131.6942
1545501843,-27.9089,131.9313
1545501848,-27.6780,132.1673
1545501854,-27.4235,132.4256
1545501859,-27.1917,132.6592
1545501864,-26.9593,132.8919
1545501869,-26.7033,133.1466
1545501874,-26.4700,133.3771
1545501879,-26.2363,133.6065
1545501885,-26.0021,133.8350
1545501890,-25.7440,134.0852
1545501895,-25.5090,134.3116
1545501900,-25.2735,134.5370
1545501906,-25.0140,134.7839
1545501911,-24.7777,135.0073
1545501916,-24.5409,135.2299
1545501921,-24.2800,135.4736
1545501926,-24.0425,135.6942
1545501931,-23.8046,135.9139
1545501937,-23.5424,136.1546
1545501942,-23.3037,136.3724
1545501947,-23.0647,136.5894
1545501952,-22.8013,136.8272
1545501957,-22.5615,137.0424
1545501962,-22.3213,137.2569
1545501968,-22.0567,137.4919
1545501973,-21.8158,137.7046
1545501978,-21.5746,137.9166
1545501983,-21.3330,138.1278
1545501988,-21.0670,138.3593
1545501993,-20.8248,138.5689
1545501999,-20.5580,138.7986
1545502004,-20.3152,139.0067
1545502009,-20.0721,139.2140
1545502014,-19.8043,139.4413
1545502019,-19.5605,139.6472
1545502024,-19.3165,139.8523
1545502030,-19.0477,140.0773
1545502035,-18.8031,140.2811
1545502040,-18.5582,140.4842
1545502045,-18.2885,140.7069
1545502050,-18.0431,140.9087
1545502055,-17.7974,141.1099
1545502061,-17.5268,141.3305
1545502066,-17.2806,141.5304
1545502071,-17.0342,141.7297
1545502076,-16.7628,141.9483
1545502081,-16.5158,142.1464
1545502086,-16.2686,142.3440
1545502092,-15.9965,142.5607
1545502097,-15.7487,142.7571
1545502102,-15.5009,142.9530
1545502107,-15.2528,143.1483
1545502113,-14.9796,143.3627
1545502118,-14.7311,143.5570
1545502123,-14.4575,143.7702
1545502128,-14.2085,143.9635
1545502134,-13.9345,144.1755
1545502139,-13.6852,144.3678
1545502144,-13.4356,144.5597
1545502149,-13.1609,144.7703
1545502154,-12.9110,144.9612
1545502159,-12.6609,145.1518
1545502165,-12.3856,145.3609
1545502170,-12.1351,145.5506
1545502175,-11.8846,145.7398
1545502180,-11.6087,145.9476
1545502185,-11.3578,146.1361
1545502190,-11.1067,146.3242
1545502195,-10.8555,146.5120
1545502201,-10.5789,146.7181
1545502206,-10.3274,146.9051
1545502211,-10.0758,147.0919
1545502216,-9.7988,147.2969
1545502221,-9.5468,147.4829
1545502226,-9.2948,147.6687
1545502232,-9.0174,147.8726
1545502237,-8.7650,148.0578
1545502242,-8.5126,148.2426
1545502247,-8.2348,148.4456
1545502252,-7.9822,148.6299
1545502257,-7.7294,148.8140
1545502263,-7.4513,149.0161
1545502268,-7.1983,149.1996
1545502273,-6.9453,149.3829
1545502278,-6.6669,149.5843
1545502283,-6.4136,149.7671
1545502289,-6.1350,149.9681
1545502294,-5.8816,150.1505
1545502299,-5.6280,150.3328
1545502305,-5.3491,150.5331
1545502310,-5.0955,150.7150
1545502315,-4.8418,150.8967
1545502320,-4.5627,151.0964
1545502325,-4.3089,151.2779
1545502330,-4.0550,151.4592
1545502336,-3.7757,151.6585
1545502341,-3.5217,151.8395
1545502346,-3.2676,152.0205
1545502351,-2.9881,152.2194
1545502356,-2.7340,152.4001
1545502361,-2.4799,152.5808
1545502367,-2.2003,152.7794
1545502372,-1.9461,152.9599
1545502377,-1.6918,153.1403
1545502382,-1.4121,153.3388
1545502387,-1.1577,153.5192
1545502392,-0.9034,153.6995
1545502398,-0.6236,153.8978
1545502403,-0.3693,154.0781
1545502408,-0.0895,154.2764
1545502413,0.1649,154.4567
1545502418,0.4192,154.6369
1545502424,0.6990,154.8353
1545502429,0.9534,155.0156
1545502434,1.2077,155.1959
1545502439,1.4875,155.3944
1545502444,1.7418,155.5748
1545502449,1.9961,155.7553
1545502455,2.2758,155.9539
1545502460,2.5301,156.1346
1545502465,2.7843,156.3153
1545502470,3.0639,156.5142
1545502475,3.3181,156.6952
1545502480,3.5722,156.8762
1545502485,3.8263,157.0573
1545502491,4.1057,157.2567
1545502496,4.3596,157.4381
1545502501,4.6136,157.6197
1545502506,4.8929,157.8196
1545502511,5.1467,158.0015
1545502517,5.4004,158.1835
1545502522,5.6795,158.3839
1545502527,5.9330,158.5663
1545502532,6.1865,158.7489
1545502538,6.4653,158.9499
1545502543,6.7186,159.1329
1545502548,6.9972,159.3345
1545502553,7.2503,159.5179
1545502559,7.5287,159.7200
1545502564,7.7817,159.9040
1545502569,8.0346,160.0881
1545502574,8.3126,160.2911
1545502579,8.5653,160.4758
1545502584,8.8178,160.6609
1545502589,9.0703,160.8462
1545502595,9.3478,161.0504
1545502600,9.6001,161.2363
1545502605,9.8522,161.4226
1545502610,10.1294,161.6279
1545502615,10.3812,161.8149
1545502620,10.6331,162.0023
1545502626,10.9098,162.2087
1545502631,11.1613,162.3967
1545502636,11.4125,162.5851
1545502641,11.6887,162.7927
1545502646,11.9397,162.9819
1545502651,12.1905,163.1715
1545502656,12.4411,163.3615
1545502662,12.7167,163.5709
1545502667,12.9670,163.7617
1545502672,13.2421,163.9722
1545502677,13.4920,164.1639
1545502682,13.7418,164.3561
1545502688,14.0163,164.5681
1545502693,14.2657,164.7612
1545502698,14.5398,164.9743
1545502703,14.7888,165.1685
1545502708,15.0376,165.3632
1545502714,15.3110,165.5779
1545502719,15.5594,165.7737
1545502724,15.8076,165.9700
1545502729,16.0555,166.1668
