Time,Latitude,Longitude
1546046187,-35.3457,-23.1490
1546046193,-35.1139,-22.8404
1546046198,-34.9025,-22.5616
1546046203,-34.6904,-22.2843
1546046208,-34.4775,-22.0086
1546046213,-34.2639,-21.7344
1546046218,-34.0281,-21.4344
1546046223,-33.8130,-21.1633
1546046228,-33.5973,-20.8937
1546046233,-33.3808,-20.6255
1546046238,-33.1637,-20.3587
1546046244,-32.9241,-20.0669
1546046249,-32.7056,-19.8031
1546046254,-32.4864,-19.5407
1546046259,-32.2667,-19.2797
1546046264,-32.0463,-19.0201
1546046269,-31.8031,-18.7360
1546046274,-31.5814,-18.4792
1546046279,-31.3592,-18.2236
1546046284,-31.1363,-17.9694
1546046289,-30.9128,-17.7165
1546046295,-30.6664,-17.4398
1546046300,-30.4417,-17.1895
1546046305,-30.2165,-16.9406
